地名,センター,燃えるごみ,資源ごみ,プラスチックごみ,埋立ごみ
旧田辺市テンプレ,旧田辺市地域,月 木,水2,火1 火3,水4

鮎川,大塔行政局管内,火 金,水2,木1 木3,水4
三川・富里,大塔行政局管内,月 木,水1,火2 火4,水3
中辺路 北郡,中辺路行政局管内,月 木,水1,火1 火3,水4
中辺路 西谷,中辺路行政局管内,月 木,水1,火1 火3,水4
中辺路 真砂,中辺路行政局管内,月 木,水1,火1 火3,水4
中辺路 石船,中辺路行政局管内,月 木,水1,火1 火3,水4
中辺路 大内川,中辺路行政局管内,月 木,水1,火1 火3,水4
中辺路 滝尻,中辺路行政局管内,月 木,水1,火1 火3,水4
中辺路 峰,中辺路行政局管内,月 木,水2,火2 火4,水4
中辺路 下芝,中辺路行政局管内,月 木,水2,火2 火4,水4
中辺路 中芝,中辺路行政局管内,月 木,水2,火2 火4,水4
中辺路 上芝下,中辺路行政局管内,月 木,水2,火2 火4,水4
中辺路 上芝上,中辺路行政局管内,月 木,水2,火2 火4,水4
中辺路 高原,中辺路行政局管内,月 木,水2,火2 火4,水4
中辺路 福定,中辺路行政局管内,火 金,水1,木1 木3,水4
中辺路 川合,中辺路行政局管内,火 金,水1,木1 木3,水4
中辺路 大川,中辺路行政局管内,火 金,水1,木1 木3,水4
中辺路 近露,中辺路行政局管内,火 金,水1,木1 木3,水4
中辺路 野中,中辺路行政局管内,火 金,水1,木1 木3,水4
中辺路 小皆,中辺路行政局管内,火 金,水2,木2 木4,水4
中辺路 熊野川,中辺路行政局管内,火 金,水2,木2 木4,水4
中辺路 澤,中辺路行政局管内,火 金,水2,木2 木4,水4
中辺路 水上,中辺路行政局管内,火 金,水2,木2 木4,水4
中辺路 内井川,中辺路行政局管内,火 金,水2,木2 木4,水4
中辺路 温川,中辺路行政局管内,火 金,水2,木2 木4,水4
中辺路 小松原,中辺路行政局管内,火 金,水2,木2 木4,水4
龍神 龍神,龍神行政局管内,月 木,水2,水1 水3,水4
龍神 小又川,龍神行政局管内,月 木,水2,水1 水3,水4
龍神 湯ノ又,龍神行政局管内,月 木,水2,水1 水3,水4
龍神 広井原,龍神行政局管内,月 木,水2,水1 水3,水4
龍神 宮代,龍神行政局管内,月 木,水2,水1 水3,水4
龍神 西,龍神行政局管内,月 木,水2,水1 水3,水4
龍神 東,龍神行政局管内,月 木,水2,水1 水3,水4
龍神 殿原,龍神行政局管内,月 木,水2,水1 水3,水4
龍神 丹生ノ川,龍神行政局管内,月 木,水2,水1 水3,水4
龍神 三ツ又,龍神行政局管内,月 木,水2,水1 水3,水4
龍神 安井,龍神行政局管内,火 金,水2,水1 水3,水4
龍神 柳瀬,龍神行政局管内,火 金,水2,水1 水3,水4
龍神 福井,龍神行政局管内,火 金,水2,水1 水3,水4
龍神 甲斐ノ川,龍神行政局管内,火 金,水2,水1 水3,水4
龍神 小家,龍神行政局管内,火 金,水2,水1 水3,水4
本宮 萩,本宮行政局管内,月 木,水1,水2 水4,水3
本宮 竹ノ本,本宮行政局管内,月 木,水1,水2 水4,水3
本宮 福寿,本宮行政局管内,月 木,水1,水2 水4,水3
本宮 菊水,本宮行政局管内,月 木,水1,水2 水4,水3
本宮 発心門,本宮行政局管内,月 木,水1,水2 水4,水3
本宮 中下番,本宮行政局管内,月 木,水1,水2 水4,水3
本宮 小森,本宮行政局管内,月 木,水1,水2 水4,水3
本宮 一本松,本宮行政局管内,月 木,水1,水2 水4,水3
本宮 大居,本宮行政局管内,月 木,水1,水2 水4,水3
本宮 下向,本宮行政局管内,月 木,水1,水2 水4,水3
本宮 九鬼,本宮行政局管内,月 木,水1,水2 水4,水3
本宮 上切原,本宮行政局管内,月 木,水1,水2 水4,水3
本宮 切畑,本宮行政局管内,月 木,水1,水2 水4,水3
本宮 八木尾,本宮行政局管内,月 木,水1,水2 水4,水3
本宮 土河屋,本宮行政局管内,月 木,水1,水2 水4,水3
本宮 上町中村地,本宮行政局管内,月 木,水1,水2 水4,水3
本宮 上地,本宮行政局管内,月 木,水1,水2 水4,水3
